Engine.PowerAtShaftRelative,Engine.RPM,Engine.PowerAtShaft,Unnamed: 3,Consumptions_Parsed,Unnamed: 5,Unnamed: 6,Unnamed: 7,Engine.PowerAtShaft_uptd,Engine.PowerAtShaft_Imputed_5,Engine.PowerAtShaft_Imputed,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,,Consumptions_Parsed_NN,EngineRunningMinutes,Engine.RunningHours
,80.8,5400,,0.5,,,,3271.8325,3344.066,3084.666667,,,,,,0.5,119.7025501,2
75.5,80.1,5100,,10.8,,,,5100,5100,5100,,,,,,10.8,564,9.4
70.24,80.7,4745,,28.8,,,,4745,4745,4745,,,,,,28.8,1440,24
83.57,80.2,5645,,28.9,,,,5645,5645,5645,,,,,,28.9,1440,24
69.9,80.6,4722,,28.8,,,,4722,4722,4722,,,,,,28.8,1440,24
78.96,82.8,5334,,30.2,,,,5334,5334,5334,,,,,,30.2,1440,24
78.55,80.9,5306,,29.9,,,,5306,5306,5306,,,,,,29.9,1440,24
74.02,83.8,5000,,16.2,,,,5000,5000,5000,,,,,,16.2,810,13.5
0,80.8,5400,,1,,,,3271.8325,3592.066,3322.443333,,,,,,1,142.6073547,2.38
0,80.8,5400,,1.1,,,,3271.8325,3344.066,3322.443333,,,,,,1.1,147.1883157,2.45
0,80.8,5400,,1.4,,,,3271.8325,3344.066,3322.443333,,,,,,1.4,160.9311984,2.68
,80.8,5400,,1.4,,,,3271.8325,3344.066,3322.443333,,,,,,1.4,160.9311984,2.68
,80.8,5400,,4.5,,,,4622,4684,4369.666667,,,,,,4.5,302.9409872,5.05
,80.8,5400,,3,,,,4029.75,3898.8,4389.666667,,,,,,3,234.2265733,3.9
87.46,80.2,5908,,22,,,,5908,5908,5908,,,,,,22,1164,19.4
84.16,83.3,5685,,29.8,,,,5685,5685,5685,,,,,,29.8,1440,24
83.27,83.2,5625,,29.3,,,,5625,5625,5625,,,,,,29.3,1440,24
82.37,82,5564,,28.9,,,,5564,5564,5564,,,,,,28.9,1440,24
81.24,82.7,5488,,29,,,,5488,5488,5488,,,,,,29,1440,24
85.58,82,5781,,28.6,,,,5781,5781,5781,,,,,,28.6,1440,24
85.05,83.2,5745,,28.5,,,,5745,5745,5745,,,,,,28.5,1440,24
97.87,82.9,6611,,28.5,,,,6611,6611,6611,,,,,,28.5,1440,24
87.83,76.8,5933,,29.6,,,,5933,5933,5933,,,,,,29.6,1440,24
102.66,72.2,6935,,29.2,,,,6935,6935,6935,,,,,,29.2,1440,24
90.53,79.8,6115,,29.5,,,,6115,6115,6115,,,,,,29.5,1440,24
82.59,78.5,5579,,29.3,,,,5579,5579,5579,,,,,,29.3,1440,24
86.17,80.3,5821,,29.6,,,,5821,5821,5821,,,,,,29.6,1440,24
84.94,82,5738,,29.5,,,,5738,5738,5738,,,,,,29.5,1440,24
75.1,80,5073,,24.6,,,,5073,5073,5073,,,,,,24.6,1440,24
81.42,78.4,5500,,12,,,,5500,5500,5500,,,,,,12,570,9.5
,80.8,5400,,4.3,,,,4121,4372.6,4369.666667,,,,,,4.3,293.7790654,4.9
,80.8,5400,,12.8,,,,3180.0975,3451.478,2989.463333,,,,,,12.8,683.1607443,11.39
,80.8,5400,,1.1,,,,3271.8325,3344.066,3322.443333,,,,,,1.1,147.1883157,2.45
88.82,75.3,6000,,10.5,,,,6000,6000,6000,,,,,,10.5,594,9.9
59.22,73.3,4000,,4.5,,,,4000,4000,4000,,,,,,4.5,300,5
0,80.8,5400,,0.4,,,,3271.8325,3344.066,3084.666667,,,,,,0.4,90,1.5
0,80.8,5400,,2.9,,,,4029.75,3898.8,4389.666667,,,,,,2.9,229.6456124,3.83
0,80.8,5400,,1.1,,,,3271.8325,3344.066,3322.443333,,,,,,1.1,147.1883157,2.45
,80.8,5400,,0.6,,,,3271.8325,3344.066,3084.666667,,,,,,0.6,124.283511,2.07
78.27,80,5287,,21.8,,,,5287,5287,5287,,,,,,21.8,1080,18
117.99,83,7970,,29.6,,,,7970,7970,7970,,,,,,29.6,1440,24
80.06,83,5408,,28.9,,,,5408,5408,5408,,,,,,28.9,1380,23
85.27,82.7,5760,,29.6,,,,5760,5760,5760,,,,,,29.6,1440,24
33.16,75,2240,,13.2,,,,2240,2240,2240,,,,,,13.2,1380,23
25.66,55.1,1733,,12.9,,,,1733,1733,1733,,,,,,12.9,1440,24
86.72,81,5858,,27.4,,,,5858,5858,5858,,,,,,27.4,1440,24
84.9,81.9,5735,,28.6,,,,5735,5735,5735,,,,,,28.6,1380,23
89.02,82.8,6013,,30.2,,,,6013,6013,6013,,,,,,30.2,1440,24
83.01,82.4,5607,,30.1,,,,5607,5607,5607,,,,,,30.1,1440,24
87.77,75,5929,,21.7,,,,5929,5929,5929,,,,,,21.7,1380,23
87.85,77.7,5934,,29.8,,,,5934,5934,5934,,,,,,29.8,1440,24
58.73,74.5,3967,,28.4,,,,3967,3967,3967,,,,,,28.4,1380,23
82.8,71.8,5593,,27,,,,5593,5593,5593,,,,,,27,1440,24
92.52,79.9,6250,,29.5,,,,6250,6250,6250,,,,,,29.5,1380,23
88.33,85.5,5967,,29.5,,,,5967,5967,5967,,,,,,29.5,1440,24
90.16,83.4,6090,,28.3,,,,6090,6090,6090,,,,,,28.3,1380,23
87.96,84.2,5942,,29.6,,,,5942,5942,5942,,,,,,29.6,1440,24
84.2,82,5688,,28.2,,,,5688,5688,5688,,,,,,28.2,1380,23
74.02,79.9,5000,,28.5,,,,5000,5000,5000,,,,,,28.5,1440,24
14.8,43.3,1000,,1.1,,,,1000,1000,1000,,,,,,1.1,120,2
,80.8,5400,,5,,,,5019,4815.2,4940,,,,,,5,325.8457919,5.43
,80.8,5400,,9,,,,5465.25,5350,5287,,,,,,9,509.084229,8.48
,80.8,5400,,2.6,,,,4029.75,3898.8,4389.666667,,,,,,2.6,215.9027296,3.6
81.32,79.5,5493,,11.1,,,,5493,5493,5493,,,,,,11.1,552,9.2
81.5,80,5505,,30.2,,,,5505,5505,5505,,,,,,30.2,1440,24
88.33,79.8,5967,,29.9,,,,5967,5967,5967,,,,,,29.9,1500,25
85.23,81.3,5757,,30.2,,,,5757,5757,5757,,,,,,30.2,1440,24
91.77,79,6199,,30.2,,,,6199,6199,6199,,,,,,30.2,1440,24
86.17,77.8,5821,,30.7,,,,5821,5821,5821,,,,,,30.7,1500,25
80.7,80.8,5451,,29.5,,,,5451,5451,5451,,,,,,29.5,1440,24
96.09,80,6491,,27.5,,,,6491,6491,6491,,,,,,27.5,1440,24
82.69,76.1,5586,,31.2,,,,5586,5586,5586,,,,,,31.2,1500,25
101.75,76.7,6873,,30,,,,6873,6873,6873,,,,,,30,1440,24
81.42,79.1,5500,,31.5,,,,5500,5500,5500,,,,,,31.5,1500,25
81.04,75.5,5474,,30,,,,5474,5474,5474,,,,,,30,1440,24
79.84,77.2,5393,,29.7,,,,5393,5393,5393,,,,,,29.7,1440,24
92.09,80.2,6221,,29.8,,,,6221,6221,6221,,,,,,29.8,1440,24
82.74,78.1,5589,,31.1,,,,5589,5589,5589,,,,,,31.1,1500,25
83.39,80.3,5633,,29.9,,,,5633,5633,5633,,,,,,29.9,1440,24
89.58,82.1,6051,,29.7,,,,6051,6051,6051,,,,,,29.7,1440,24
80.58,80.8,5443,,31.4,,,,5443,5443,5443,,,,,,31.4,1500,25
82.9,82,5600,,21.6,,,,5600,5600,5600,,,,,,21.6,1038,17.3
0,80.8,5400,,1.3,,,,3271.8325,3344.066,3322.443333,,,,,,1.3,156.3502375,2.61
,80.8,5400,,5.4,,,,4593,4750.2,4500.666667,,,,,,5.4,344.1696356,5.74
,80.8,5400,,4.4,,,,4622,4372.6,4369.666667,,,,,,4.4,298.3600263,4.97
,80.8,5400,,0.7,,,,3271.8325,3344.066,3084.666667,,,,,,0.7,128.864472,2.15
79.63,82,5379,,5,,,,5379,5379,5379,,,,,,5,270,4.5
81.39,82.7,5498,,29.2,,,,5498,5498,5498,,,,,,29.2,1440,24
81.18,83.1,5484,,31,,,,5484,5484,5484,,,,,,31,1500,25
78.52,83,5304,,30,,,,5304,5304,5304,,,,,,30,1440,24
77.69,82.3,5248,,30.4,,,,5248,5248,5248,,,,,,30.4,1500,25
81.48,82,5504,,29.3,,,,5504,5504,5504,,,,,,29.3,1440,24
76.98,82,5200,,20.8,,,,5200,5200,5200,,,,,,20.8,1050,17.5
,80.8,5400,,0.8,,,,3271.8325,3344.066,3084.666667,,,,,,0.8,133.4454329,2.22
,80.8,5400,,0.5,,,,3271.8325,3344.066,3084.666667,,,,,,0.5,119.7025501,2
,80.8,5400,,3.3,,,,3965.25,3898.8,3662.666667,,,,,,3.3,247.9694561,4.13
76.98,81,5200,,20.9,,,,5200,5200,5200,,,,,,20.9,1008,16.8
0,80.8,5400,,0.4,,,,3271.8325,3344.066,3084.666667,,,,,,0.4,18,0.3
0,80.8,5400,,3.9,,,,3731.25,3917.6,3991.666667,,,,,,3.9,275.4552217,4.59
,80.8,5400,,4.5,,,,4622,4684,4369.666667,,,,,,4.5,302.9409872,5.05
