FuelOilTypeIDCode,Amount
MGO,0
MDOLS,0
LSFO,0
MGOLS,109.2
HFO,1034
HFO,1034
MDO,0
MDOLS,0
MGOLS,108.1
MGO,0
LSFO,0
HFO,1034
LSFO,0
MGOLS,97.6
MDO,0
MDOLS,0
MGO,0
HFO,1034
LSFO,0
MDOLS,0
MGO,0
MGOLS,93.1
MDO,0
MDOLS,0
MDO,0
MGO,0
LSFO,0
MGOLS,92.7
HFO,1034
MDO,0
LSFO,0
HFO,1284
MDOLS,0
MGOLS,89.8
MGO,0
HFO,1284
MDO,0
LSFO,0
MDOLS,0
MGO,0
MGOLS,236.7
MGOLS,236.1
LSFO,0
MDOLS,0
HFO,1284
MGO,0
MDO,0
MDOLS,0
MGO,0
LSFO,0
MGOLS,223.9
HFO,1274.4
MDO,0
MDO,0
HFO,1242
MGOLS,223.9
MGO,0
MDOLS,0
LSFO,0
HFO,1215.9
MDO,0
LSFO,0
MDOLS,0
MGOLS,223.9
MGO,0
MGO,0
LSFO,0
HFO,1186.3
MDO,0
MDOLS,0
MGOLS,223.9
LSFO,0
MDOLS,0
MDO,0
HFO,1173.1
MGO,0
MGOLS,223.9
MGOLS,223.9
LSFO,0
MGO,0
MDOLS,0
MDO,0
HFO,1160.2
LSFO,0
MDOLS,0
HFO,1132.8
MGO,0
MGOLS,223.9
MDO,0
HFO,1104.2
MGO,0
MDO,0
MDOLS,0
MGOLS,223.9
LSFO,0
MDO,0
MDOLS,0
LSFO,0
HFO,1074
MGO,0
MGOLS,223.9
MDOLS,0
MGOLS,223.9
HFO,1043.9
LSFO,0
MDO,0
MGO,0
MDOLS,0
HFO,1022.2
MGO,0
MGOLS,223.9
MDO,0
LSFO,0
MDOLS,0
MDO,0
LSFO,0
MGOLS,223.8
MGO,0
HFO,992.5
LSFO,0
MDOLS,0
MDO,0
MGOLS,223.8
MGO,0
HFO,964.1
MDO,0
MGOLS,223.8
LSFO,0
MGO,0
MDOLS,0
HFO,937.1
HFO,907.6
MGO,0
MDOLS,0
MGOLS,223.8
MDO,0
LSFO,0
MGO,0
MDO,0
HFO,878.1
LSFO,0
MGOLS,223.8
MDOLS,0
MDOLS,0
MDO,0
MGO,0
LSFO,0
HFO,849.8
MGOLS,223.8
MGOLS,223.7
HFO,820.3
MDO,0
LSFO,0
MGO,0
MDOLS,0
HFO,795.4
MDO,0
MGO,0
MDOLS,0
LSFO,0
MGOLS,220.4
MGOLS,191.9
LSFO,0
HFO,795.4
MDOLS,0
MDO,0
MGO,0
MGOLS,190.8
MDO,0
MDOLS,0
MGO,0
HFO,795.4
LSFO,0
LSFO,0
MGOLS,185.8
MDO,0
MDOLS,0
HFO,795.4
MGO,0
LSFO,0
HFO,795.4
MDOLS,0
MGO,0
MGOLS,176.8
MDO,0
HFO,795.4
MGOLS,174.2
LSFO,0
MDOLS,0
MGO,0
MDO,0
MGO,0
MDO,0
MDOLS,0
MGOLS,163.1
LSFO,0
HFO,795.4
MGO,0
HFO,790.3
LSFO,0
MGOLS,138
MDO,0
MDOLS,0
HFO,760.4
MDO,0
MDOLS,0
LSFO,0
MGO,0
MGOLS,138
MDO,0
MDOLS,0
HFO,730.2
LSFO,0
MGOLS,138
MGO,0
MGOLS,138
MDO,0
MGO,0
MDOLS,0
LSFO,0
HFO,700
MGOLS,138
HFO,669.3
MDOLS,0
MGO,0
LSFO,0
MDO,0
MGOLS,138
MDO,0
MGO,0
MDOLS,0
LSFO,0
HFO,639.8
LSFO,0
HFO,612.3
MDO,0
MDOLS,0
MGO,0
MGOLS,138
MGO,0
MDO,0
HFO,581.1
MDOLS,0
LSFO,0
MGOLS,138
MGO,0
MGOLS,138
HFO,551.1
MDO,0
LSFO,0
MDOLS,0
LSFO,0
MGO,0
MDO,0
HFO,519.6
MGOLS,138
MDOLS,0
LSFO,0
HFO,489.6
MGOLS,138
MDOLS,0
MDO,0
MGO,0
LSFO,0
MDOLS,0
MGOLS,138
MDO,0
HFO,459.9
MGO,0
MDO,0
HFO,430.1
MGOLS,138
LSFO,0
MGO,0
MDOLS,0
MDOLS,0
HFO,399
LSFO,0
MGOLS,138
MDO,0
MGO,0
MDO,0
MGOLS,138
LSFO,0
MGO,0
HFO,369.1
MDOLS,0
MGOLS,138
HFO,339.4
MDOLS,0
MDO,0
MGO,0
LSFO,0
MDO,0
MDOLS,0
MGO,0
MGOLS,138
LSFO,0
HFO,308
MDO,0
HFO,286.4
MDOLS,0
LSFO,0
MGOLS,138
MGO,0
MGOLS,138
MDO,0
HFO,285.1
MDOLS,0
MGO,0
LSFO,0
MDO,0
MGO,0
HFO,279.7
MDOLS,0
MGOLS,138
LSFO,0
MDOLS,0
MDO,0
LSFO,0
HFO,2142.2
MGO,0
MGOLS,143.7
MGO,0
MDOLS,0
MDO,0
LSFO,0
MGOLS,143.7
HFO,2141.5
HFO,2136.5
LSFO,0
MDOLS,0
MGO,0
MDO,0
MGOLS,143.7
LSFO,0
MDO,0
MGOLS,143.7
MDOLS,0
MGO,0
HFO,2107.3
LSFO,0
MGOLS,143.7
MGO,0
MDOLS,0
MDO,0
HFO,2076.3
MDOLS,0
MDO,0
MGO,0
MGOLS,143.7
LSFO,0
HFO,2046.3
MDOLS,0
LSFO,0
MGOLS,143.7
HFO,2015.9
MGO,0
MDO,0
MGO,0
LSFO,0
MDOLS,0
MGOLS,143.7
HFO,1986.6
MDO,0
HFO,1969.7
MDOLS,0
MDO,0
LSFO,0
MGO,0
MGOLS,139.8
MDO,0
HFO,1969.7
LSFO,0
MGOLS,139
MDOLS,0
MGO,0
MDO,0
MDOLS,0
HFO,1986.6
MGOLS,138.5
LSFO,0
MGO,0
MDO,0
MGO,0
LSFO,0
MDOLS,0
HFO,1969.7
MGOLS,135.2
HFO,1959.6
LSFO,0
MDO,0
MDOLS,0
MGOLS,124.4
MGO,0
MDOLS,0
MDO,0
LSFO,0
HFO,1969.7
MGO,0
MGOLS,124
MDOLS,0
LSFO,0
HFO,1959.6
MGOLS,120.1
MGO,0
MDO,0
MGO,0
LSFO,0
MDOLS,0
MGOLS,115.6
HFO,1959.6
MDO,0
MGOLS,100.5
MGO,0
MDOLS,0
MDO,0
HFO,1959.6
LSFO,0
LSFO,0
MDOLS,0
MGOLS,98.1
MGO,0
MDO,0
HFO,1959.6
LSFO,0
HFO,1943.5
MGOLS,87.8
MGO,0
MDO,0
MDOLS,0
MDO,0
MGOLS,87.8
MGO,0
LSFO,0
MDOLS,0
HFO,1914.9
MDOLS,0
MGO,0
HFO,1885.6
MDO,0
MGOLS,87.8
LSFO,0
LSFO,0
HFO,1856.3
MDO,0
MDOLS,0
MGO,0
MGOLS,87.8
HFO,1827.4
MDO,0
MGO,0
LSFO,0
MDOLS,0
MGOLS,87.8
HFO,1799.1
MDOLS,0
MDO,0
MGO,0
MGOLS,87.8
LSFO,0
HFO,1770.1
MGOLS,87.8
MDO,0
MGO,0
MDOLS,0
LSFO,0
MDO,0
LSFO,0
MGO,0
MGOLS,87.8
HFO,1739.9
MDOLS,0
MDO,0
MDOLS,0
MGO,0
LSFO,0
MGOLS,87.8
HFO,1709.9
LSFO,0
MGO,0
MGOLS,87.8
MDO,0
MDOLS,0
HFO,1679.9
HFO,1649.7
MDO,0
MGOLS,87.8
MDOLS,0
MGO,0
LSFO,0
MGO,0
MDO,0
MGOLS,87.8
MDOLS,0
HFO,1620
LSFO,0
LSFO,0
MGOLS,87.8
MDO,0
MGO,0
HFO,1591
MDOLS,0
MGOLS,87.8
MDOLS,0
MGO,0
LSFO,0
HFO,1561.7
MDO,0
HFO,1537.4
MDOLS,0
LSFO,0
MGOLS,90.2
MGO,0
MDO,0
MDO,0
MGOLS,90.2
LSFO,0
HFO,1522.5
MGO,0
MDOLS,0
MDO,0
HFO,1520.1
LSFO,0
MDOLS,0
MGOLS,90.2
MGO,0
MGOLS,90.2
MDO,0
MGO,0
MDOLS,0
HFO,1518.3
LSFO,0
HFO,1514.6
MGO,0
MDOLS,0
MDO,0
LSFO,0
MGOLS,90.2
MDOLS,0
MGOLS,90.2
MDO,0
LSFO,0
MGO,0
HFO,1510.8
HFO,1505
LSFO,0
MDOLS,0
MGO,0
MGOLS,90.2
MDO,0
MDOLS,0
HFO,1499.3
MGO,0
MGOLS,90.2
LSFO,0
MDO,0
MGO,0
LSFO,0
HFO,1498
